frame,topic_label_selected,count,share
agama_budaya,Dukungan Gizi dan Nasionalisme,202,0.5906432748538012
agama_budaya,Kritik Anggaran dan Implementasi,94,0.27485380116959063
agama_budaya,Operasional dan Implementasi MBG,46,0.13450292397660818
anggaran_fiskal,Dukungan Gizi dan Nasionalisme,94,0.042572463768115944
anggaran_fiskal,Kritik Anggaran dan Implementasi,1991,0.9017210144927537
anggaran_fiskal,Operasional dan Implementasi MBG,123,0.05570652173913043
buzzer_hype,Dukungan Gizi dan Nasionalisme,22,0.06395348837209303
buzzer_hype,Kritik Anggaran dan Implementasi,257,0.747093023255814
buzzer_hype,Operasional dan Implementasi MBG,65,0.18895348837209303
dukungan_umum,Dukungan Gizi dan Nasionalisme,1906,0.6657352427523576
dukungan_umum,Kritik Anggaran dan Implementasi,790,0.2759343346140412
dukungan_umum,Operasional dan Implementasi MBG,167,0.058330422633601116
ekonomi,Dukungan Gizi dan Nasionalisme,676,0.3144186046511628
ekonomi,Kritik Anggaran dan Implementasi,1230,0.5720930232558139
ekonomi,Operasional dan Implementasi MBG,244,0.11348837209302326
gizi_kesehatan,Dukungan Gizi dan Nasionalisme,1839,0.4073992024811697
gizi_kesehatan,Kritik Anggaran dan Implementasi,2069,0.4583517944173682
gizi_kesehatan,Operasional dan Implementasi MBG,606,0.13424900310146212
keamanan_pangan,Dukungan Gizi dan Nasionalisme,52,0.028937117417918753
keamanan_pangan,Kritik Anggaran dan Implementasi,1439,0.8007790762381747
keamanan_pangan,Operasional dan Implementasi MBG,306,0.17028380634390652
kebijakan_implementasi,Dukungan Gizi dan Nasionalisme,409,0.17120133947258268
kebijakan_implementasi,Kritik Anggaran dan Implementasi,1481,0.6199246546672248
kebijakan_implementasi,Operasional dan Implementasi MBG,499,0.20887400586019256
political_skeptis,Dukungan Gizi dan Nasionalisme,556,0.23215031315240084
political_skeptis,Kritik Anggaran dan Implementasi,1552,0.6480167014613779
political_skeptis,Operasional dan Implementasi MBG,287,0.1198329853862213
resistensi_regional,Dukungan Gizi dan Nasionalisme,374,0.5993589743589743
resistensi_regional,Kritik Anggaran dan Implementasi,179,0.28685897435897434
resistensi_regional,Operasional dan Implementasi MBG,71,0.11378205128205128
sosial_pemerataan,Dukungan Gizi dan Nasionalisme,347,0.33787731256085685
sosial_pemerataan,Kritik Anggaran dan Implementasi,480,0.4673807205452775
sosial_pemerataan,Operasional dan Implementasi MBG,200,0.19474196689386564
