week,topic_label_selected,count,share
2024-12-30/2025-01-05,Dukungan Gizi dan Nasionalisme,18,0.21428571428571427
2024-12-30/2025-01-05,Kritik Anggaran dan Implementasi,34,0.40476190476190477
2024-12-30/2025-01-05,Operasional dan Implementasi MBG,32,0.38095238095238093
2025-01-06/2025-01-12,Dukungan Gizi dan Nasionalisme,82,0.2578616352201258
2025-01-06/2025-01-12,Kritik Anggaran dan Implementasi,166,0.5220125786163522
2025-01-06/2025-01-12,Operasional dan Implementasi MBG,70,0.22012578616352202
2025-01-13/2025-01-19,Dukungan Gizi dan Nasionalisme,62,0.13716814159292035
2025-01-13/2025-01-19,Kritik Anggaran dan Implementasi,322,0.7123893805309734
2025-01-13/2025-01-19,Operasional dan Implementasi MBG,68,0.1504424778761062
2025-01-20/2025-01-26,Dukungan Gizi dan Nasionalisme,86,0.19953596287703015
2025-01-20/2025-01-26,Kritik Anggaran dan Implementasi,265,0.6148491879350348
2025-01-20/2025-01-26,Operasional dan Implementasi MBG,80,0.18561484918793503
2025-01-27/2025-02-02,Dukungan Gizi dan Nasionalisme,60,0.26905829596412556
2025-01-27/2025-02-02,Kritik Anggaran dan Implementasi,134,0.600896860986547
2025-01-27/2025-02-02,Operasional dan Implementasi MBG,29,0.13004484304932734
2025-02-03/2025-02-09,Dukungan Gizi dan Nasionalisme,44,0.11827956989247312
2025-02-03/2025-02-09,Kritik Anggaran dan Implementasi,288,0.7741935483870968
2025-02-03/2025-02-09,Operasional dan Implementasi MBG,40,0.10752688172043011
2025-02-10/2025-02-16,Dukungan Gizi dan Nasionalisme,48,0.12276214833759591
2025-02-10/2025-02-16,Kritik Anggaran dan Implementasi,315,0.8056265984654731
2025-02-10/2025-02-16,Operasional dan Implementasi MBG,28,0.07161125319693094
2025-02-17/2025-02-23,Dukungan Gizi dan Nasionalisme,39,0.125
2025-02-17/2025-02-23,Kritik Anggaran dan Implementasi,235,0.7532051282051282
2025-02-17/2025-02-23,Operasional dan Implementasi MBG,38,0.12179487179487179
2025-02-24/2025-03-02,Dukungan Gizi dan Nasionalisme,69,0.24642857142857144
2025-02-24/2025-03-02,Kritik Anggaran dan Implementasi,185,0.6607142857142857
2025-02-24/2025-03-02,Operasional dan Implementasi MBG,26,0.09285714285714286
2025-03-03/2025-03-09,Dukungan Gizi dan Nasionalisme,45,0.22727272727272727
2025-03-03/2025-03-09,Kritik Anggaran dan Implementasi,126,0.6363636363636364
2025-03-03/2025-03-09,Operasional dan Implementasi MBG,27,0.13636363636363635
2025-03-10/2025-03-16,Dukungan Gizi dan Nasionalisme,63,0.22743682310469315
2025-03-10/2025-03-16,Kritik Anggaran dan Implementasi,175,0.631768953068592
2025-03-10/2025-03-16,Operasional dan Implementasi MBG,39,0.1407942238267148
2025-03-17/2025-03-23,Dukungan Gizi dan Nasionalisme,40,0.1724137931034483
2025-03-17/2025-03-23,Kritik Anggaran dan Implementasi,174,0.75
2025-03-17/2025-03-23,Operasional dan Implementasi MBG,18,0.07758620689655173
2025-03-24/2025-03-30,Dukungan Gizi dan Nasionalisme,90,0.2571428571428571
2025-03-24/2025-03-30,Kritik Anggaran dan Implementasi,244,0.6971428571428572
2025-03-24/2025-03-30,Operasional dan Implementasi MBG,16,0.045714285714285714
2025-03-31/2025-04-06,Dukungan Gizi dan Nasionalisme,48,0.24742268041237114
2025-03-31/2025-04-06,Kritik Anggaran dan Implementasi,131,0.6752577319587629
2025-03-31/2025-04-06,Operasional dan Implementasi MBG,15,0.07731958762886598
2025-04-07/2025-04-13,Dukungan Gizi dan Nasionalisme,79,0.4647058823529412
2025-04-07/2025-04-13,Kritik Anggaran dan Implementasi,82,0.4823529411764706
2025-04-07/2025-04-13,Operasional dan Implementasi MBG,9,0.052941176470588235
2025-04-14/2025-04-20,Dukungan Gizi dan Nasionalisme,109,0.36212624584717606
2025-04-14/2025-04-20,Kritik Anggaran dan Implementasi,160,0.53156146179402
2025-04-14/2025-04-20,Operasional dan Implementasi MBG,32,0.10631229235880399
2025-04-21/2025-04-27,Dukungan Gizi dan Nasionalisme,64,0.28444444444444444
2025-04-21/2025-04-27,Kritik Anggaran dan Implementasi,144,0.64
2025-04-21/2025-04-27,Operasional dan Implementasi MBG,17,0.07555555555555556
2025-04-28/2025-05-04,Dukungan Gizi dan Nasionalisme,83,0.22865013774104684
2025-04-28/2025-05-04,Kritik Anggaran dan Implementasi,228,0.628099173553719
2025-04-28/2025-05-04,Operasional dan Implementasi MBG,52,0.14325068870523416
2025-05-05/2025-05-11,Dukungan Gizi dan Nasionalisme,74,0.16780045351473924
2025-05-05/2025-05-11,Kritik Anggaran dan Implementasi,324,0.7346938775510204
2025-05-05/2025-05-11,Operasional dan Implementasi MBG,43,0.09750566893424037
2025-05-12/2025-05-18,Dukungan Gizi dan Nasionalisme,83,0.2881944444444444
2025-05-12/2025-05-18,Kritik Anggaran dan Implementasi,163,0.5659722222222222
2025-05-12/2025-05-18,Operasional dan Implementasi MBG,42,0.14583333333333334
2025-05-19/2025-05-25,Dukungan Gizi dan Nasionalisme,86,0.3115942028985507
2025-05-19/2025-05-25,Kritik Anggaran dan Implementasi,163,0.5905797101449275
2025-05-19/2025-05-25,Operasional dan Implementasi MBG,27,0.09782608695652174
2025-05-26/2025-06-01,Dukungan Gizi dan Nasionalisme,81,0.2862190812720848
2025-05-26/2025-06-01,Kritik Anggaran dan Implementasi,176,0.6219081272084805
2025-05-26/2025-06-01,Operasional dan Implementasi MBG,26,0.09187279151943463
2025-06-02/2025-06-08,Dukungan Gizi dan Nasionalisme,84,0.3076923076923077
2025-06-02/2025-06-08,Kritik Anggaran dan Implementasi,173,0.6336996336996337
2025-06-02/2025-06-08,Operasional dan Implementasi MBG,16,0.05860805860805861
2025-06-09/2025-06-15,Dukungan Gizi dan Nasionalisme,132,0.4036697247706422
2025-06-09/2025-06-15,Kritik Anggaran dan Implementasi,174,0.5321100917431193
2025-06-09/2025-06-15,Operasional dan Implementasi MBG,21,0.06422018348623854
2025-06-16/2025-06-22,Dukungan Gizi dan Nasionalisme,65,0.3125
2025-06-16/2025-06-22,Kritik Anggaran dan Implementasi,120,0.5769230769230769
2025-06-16/2025-06-22,Operasional dan Implementasi MBG,23,0.11057692307692307
2025-06-23/2025-06-29,Dukungan Gizi dan Nasionalisme,144,0.3150984682713348
2025-06-23/2025-06-29,Kritik Anggaran dan Implementasi,259,0.5667396061269147
2025-06-23/2025-06-29,Operasional dan Implementasi MBG,54,0.11816192560175055
2025-06-30/2025-07-06,Dukungan Gizi dan Nasionalisme,57,0.31666666666666665
2025-06-30/2025-07-06,Kritik Anggaran dan Implementasi,104,0.5777777777777777
2025-06-30/2025-07-06,Operasional dan Implementasi MBG,19,0.10555555555555556
2025-07-07/2025-07-13,Dukungan Gizi dan Nasionalisme,67,0.5075757575757576
2025-07-07/2025-07-13,Kritik Anggaran dan Implementasi,53,0.4015151515151515
2025-07-07/2025-07-13,Operasional dan Implementasi MBG,12,0.09090909090909091
